Avere
avere,to have
(avere) io,(avere) ho
(avere) tu,(avere) hai
(avere) lui/lei,(avere) ha
(avere) noi,(avere) abbiamo
(avere) voi,(avere) avete
(avere) loro,(avere) hanno

Fare
fare,to do/make
(fare) io,(fare) faccio
(fare) tu,(fare) fai
(fare) lui/lei,(fare) fa
(fare) noi,(fare) facciamo
(fare) voi,(fare) fate
(fare) loro,(fare) fanno

Andare
andare,to go
(andare) io,(fare) vado
(andare) tu,(fare) vai
(andare) lui/lei,(fare) va
(andare) noi,(fare) andiamo
(andare) voi,(fare) andate
(andare) loro,(fare) vanno

#Avere
#I have,io ho
#you have,tu hai
#he/she has,lui/lei ha
#we have,noi abbiamo
#you all have,voi avete
#they have,loro hanno

Essere
I am,io sono
you are,tu sei
he/she is,lui/lei è
we are,noi siamo
you all are,voi siete
they are,loro sono

Volere
I want,io voglio
you want,tu vuoi
he/she wants,lui/lei vuole
we want,noi vogliamo
you all want,voi volete
they want,loro vogliono

Potere
I can,io posso
you can,tu puoi
he/she can,lui/lei può
we can,noi possiamo
you all can,voi potete
they can,loro possono

Dovere
I must,io devo
you must,tu devi
he/she must,lui/lei deve
we must,noi dobbiamo
you call must,voi dovete
they must,loro devono

Preposizioni
to/at,a
of,di
from,da
in,in
on,su
with,con
for,per

Numeri
one,uno
two,due
three,tre
four,quattro
five,cinque
six,sei
seven,sette
eight,otto
nine,nove
ten,dieci

Questions
who,chi
what,cosa/che cosa
where,dove
when,quando
at what time,a che ora
why,perchè
how,come
how do you say this,come si dice questo
how many,quanti/quante
how much,quanto/quanta
how much time,quanto tempo
how far,quanto dista
which,quale/quali

